Item Code,Description,,U/M
130-043000,"TUBE 10"" x 1/4"" THK 5086 AL",,FT
130-044000,OBSOLETE,,FT
130-045000,"TUBE 5-1/4"" OD X 3.5"" ID 304SS (7/8"" WALL)",,FT
130-045100,"TUBE 5-1/4"" OD X 3.5"" ID 316SS (7/8"" WALL)",,FT
130-048000,NIL,,FT
130-075256,DNU- USE PN 132-075000 INSTEAD,,FT
130-080000,TUBE 4-1/2 14GA 316L,,FT
130-081000,"TUBE 4-1/2"" x 1/4"" THK 5086",,FT
130-081100,PIPE 4.00 321 SCH10,,FT
130-081200,PIPE 4.00 321 SCH 5,,FT
130-083000,"TUBE 2"" 14GA 25-6 x 6-3/4"" L",,EA
130-083050,"TUBE 2-1/4"" x 6-1/2""L 14GA SMO",,EA
130-083100,"TUBE 2-1/2"" X 6-1/2"" 14G SMO",,EA
130-084000,"TUBE 1-3/4"" x 6-1/2""L SMO 14GA",,EA
130-086000,"TUBE 4.50"" OD x 3"" ID 316SS (3/4"" WALL)",,FT
130-086100,"TUBE 4.50"" OD x 3"" ID 304SS (3/4"" WALL)",,FT
130-087000,"TUBE 2-1/8"" 14GA 316L",,FT
130-088000,"TUBE 1-1/4"" x 6-1/2""L SMO 14GA",,EA
130-089000,"TUBE 1-1/2"" x 6-1/2""L SMO 14GA",,EA
130-097000,"TUBE 2""  16GA COPPER TYPE L",,FT
130-098000,"TUBE 1-1/2"" 16GA COPPER TYPE L",,FT
130-099000,"TUBE 2-1/2"" 16GA COPPER TYPE L",,FT
130-100000,"TUBE 2""  16GA BRASS",,FT
130-101000,"TUBE 0.50"" 14GA 316L",,FT
130-102000,"TUBE 3-1/2"" 14GA 316L POLISH",,FT
130-103000,"TUBE 6"" 12GA 316L POLISH",,FT
130-103300,"TUBE 6"" 14G POLISHED",,FT
130-104000,"TUBE 5"" 14GA 316L POLISH",,FT
130-105000,"TUBE 1""  14GA 316L POLISH",,FT
130-105500,"TUBE 1-1/4"" 12G POLISHED",,FT
130-106000,"TUBE 1-1/4"" 14GA 316L POLISH",,FT
130-107000,"TUBE 10"" 12GA 316L POLISH",,FT
130-108100,"TUBE 8"" OD x 6"" ID 304SS (1"" WALL)",,FT
130-109000,"TUBE 6"" .125THK 6061 ALUM",,FT
130-110000,"TUBE 5""  1/4 THK 6061",,FT
130-111000,"TUBE 3"" 1/4 THK 6061 ALUM",,FT
130-112000,"TUBE 4""  1/8 THK 5086 ALUM",,FT
130-116000,"TUBE 3-1/2"" OD x 2"" ID 304SS (3/4"" WALL)",,FT
130-117000,"TUBE 4"" OD x 2.5"" ID 304SS (3/4"" WALL)",,FT
130-118000,"TUBE 2-3/4""  14GA 316L",,FT
130-119000,"TUBE 4-3/4""OD X 3"" ID 304SS (7/8"" WALL)",,FT
130-121000,"TUBE 1""  14GA CUNI 90-10",,FT
130-122000,"TUBE3 14256MOX48"" OBSOLETE",,EA
130-123000,"TUBE 8""  12GA 316 SEMI-POL",,FT
130-123100,"TUBE 9"" OD x 7"" ID 316SS (1"" WALL)",,FT
130-124000,"TUBE 6""  12GA 316 SEMI-POL",,FT
130-125000,"TUBE 1""   14GA 25-6 x 4-1/4"" L",,EA
130-126000,"TUBE 4"" OD x 2"" ID 304SS (1"" WALL)",,FT
130-126001,DO NOT USE-USE 130-018000,,FT
130-888888,"R/W FL 2""T STRAIGHT JT 1026",,EA
131-001000,"PIPE 3/4""  S10 304L",,FT
131-001100,"PIPE 3/4""  S-40 BLACK IRON",,FT
131-001110,"PIPE 1"" BLACK IRON",,FT
131-001200,"PIPE CAPS-WELD 3/4""  IPS IRON",,EA
131-002000,"PIPE 3/4"" S40 304L 2B-FINISH",,FT
131-003000,"PIPE 3/4""  S10 316L",,FT
131-006000,"PIPE 3/4"" CL 200 CUNI 90/10",,FT
131-007000,PIPE 3/4  S40 CUNI 90-10,,FT
131-010000,PIPE 1/2  S10 316L,,FT
131-011000,PIPE 1/2  S10 6063 AL,,FT
131-012000,"PIPE 04.00"" IPS S80 304SS",,FT
131-014000,"PIPE 1/2"" CL 200 CUNI 90/10",,FT
131-015000,PIPE 1/2  S40 CUNI 90-10,,FT
131-018000,PIPE 3/4  S40 316L,,FT
131-018100,PIPE 3/4  IPS 5086 ALUM SCH 40,,FT
131-019000,PIPE 1  S10 316L,,FT
131-019900,"PIPE SCH 10 6061 1""",,FT
131-020000,PIPE 1  S40 316L,,FT
131-021000,PIPE 1  S10 AL6XN,,FT
131-023000,"PIPE 1"" CL 200 CUNI 90/10",,FT
131-024000,PIPE 1  S40 CUNI 90-10,,FT
131-028000,PIPE 1-1/4  S10 316L,,FT
131-029000,PIPE 1.25 S40 316L,,FT
131-030100,PIPE 1-1/4 S40 5086 ALUM,,FT
131-031000,PIPE 1-1/4  S40 6063 AL,,FT
131-032000,"PIPE 1-1/4 S5 AL6XN X 6-1/2""L",,EA
131-037000,PIPE 1.50 S10 316L,,FT
131-038000,PIPE 1.50 S40 316L,,FT
131-038800,PIPE 1 1/2 6061 3/16 THK,,FT
131-039000,"PIPE 1-1/2 S5 25-6MO X 6-3/4""",,EA
131-040000,"PIPE 06.00"" SCH XXH 316",,FT
131-041000,"PIPE 1-1/2"" CL 200 CUNI 90/10",,FT
131-042000,PIPE 1-1/2 S40 CUNI 90-10,,FT
131-043000,PIPE 1-1/2 S10 MONEL400,,FT
131-044000,PIPE 1-1/2 S40 MONEL400,,FT
131-045000,PIPE 2  S10 316L,,FT
131-046000,PIPE 2  S40 316L,,FT
131-047000,"PIPE 2  S5 SMO X 6-1/2""LONG",,EA
131-048000,PIPE 2  CLASS200 CUNI 90-10,,FT
131-049000,PIPE 2  S40 CUNI 90-10,,FT
131-050000,PIPE 2  S10 MONEL400,,FT
131-051000,PIPE 2  S40 MONEL400,,FT
131-052000,PIPE 2-1/2  S10 316L,,FT
131-053000,PIPE 2-1/2  S40 316L,,FT
131-054000,"PIPE 2-1/2 IPS 12G X 12""L 25-6",,EA
131-055000,"PIPE 6"" SCH-5 316L",,FT
131-055500,"PIPE 5"" SCH-5 316L",,FT
131-056000,PIPE 2-1/2 CLASS200 CUNI 90-10,,FT
131-057000,PIPE 2-1/2  S40 CUNI 90-10,,FT
131-058000,PIPE 2-1/2  S10 MONEL400,,FT
131-061000,PIPE 3-1/2 CLASS 200 9010 CUNI,,FT
131-062000,PIPE 4  S40 6061 AL,,FT
131-064000,PIPE 8  S40 5086 AL,,FT
131-065000,PIPE 1-1/4  S40 CUNI 90-10,,FT
131-066000,PIPE 5  S160 316,,FT
131-067000,PIPE 3  CLASS200 CUNI 90-10,,FT
131-068000,"PIPE 1-1/4"" CL 200 CUNI 90/10",,FT
131-069000,"PIPE 4"" CL 200 CUNI 90/10",,FT
131-070000,PIPE 3-1/2  S5 CUNI 90-10,,FT
131-071000,PIPE 3/8  S10 316L,,FT
131-072000,PIPE 1/4  S40 316L,,FT
131-074000,PIPE 8  S40 6061 ALUM,,FT
131-075000,PIPE 3  S40 6061 ALUM,,FT
131-076000,PIPE 6  S40 5086 ALUM,,FT
131-078000,PIPE 2  S40 6061 ALUM,,FT
131-078800,PIPE 2 1/2 6061 ALUM SCH 40,,FT
131-079000,PIPE 2  S10 6061 ALUM,,FT
131-079900,PIPE 2 1/2  6061 SCH-10  ALUM,,FT
131-080000,"PIPE 1/8""  S40 316L",,FT
131-081000,"PIPE 3/8""IPS S80 304",,FT
131-085000,"PIPE 5"" SCH-10 316L",,FT
131-086000,"PIPE 20""IPS S10 ALUM 5086",,FT
131-088000,"PIPE 8"" SCH-10 316L",,FT
131-111000,ANGLE 3 1/2 X3 1/2-3/8 6061,,FT
131-112000,"ANGLE 2"" X 2"" X 1/4"" THK 316L",,FT
131-112050,ANGLE 1.5x1.5x1/4 ALUM 5086,,FT
131-112100,"ANGLE 2"" X 2"" X 1/4"" ALUM 6061",,FT
131-113000,"ANGLE 1"" X 1""X 1/4"" STEEL",,FT
131-114000,"ANGLE 8"" X 8"" X 8""",,EA
131-115000,"ANGLE 1 1/2 X 1 1/2 X 1/4"" HR",,FT
131-118444,CHANNEL ALUM 3x1x1x1/8 6063,,FT
131-118445,"U-CHANNEL 304 14GA 1/8"" X 1"" W",,FT
131-119000,"CHANNEL STEEL 4""",,FT
132-001000,CONE 10 X 8 X 10.06L 316L 14G,,EA
132-002000,CONE 8 X 6 X 1.00L 25-6 14G,,EA
132-003000,"CONE  7 OD x 5 ID x 1""L",,EA
132-075000,"0.75"" TUBE AL6XN 16GA - T6XN-0.75X.065-W-PL",,FT
132-100000,"1"" TUBE AL6XN 16GA - T6XN-1.0X.065-W-PL",,FT
132-150000,"1.5"" TUBE AL6XN 16GA - T6XN-1.5X.065-W-PL",,FT
132-200000,"2"" TUBE AL6XN 16GA - T6XN-2.0X.065-W-PL",,FT
132-250000,"2.5"" TUBE AL6XN 16GA - T6XN-2.5X.065-W-PL",,FT
132-300000,"3"" TUBE AL6XN 16GA - T6XN-3.0X.065-W-PL",,FT
133-100000,"1"" SCH-10 PIPE AL6XN",,FT
133-150000,"1.5"" SCH-10 PIPE AL6XN",,FT
133-200000,"2"" SCH-10 PIPE AL6XN",,FT
133-300000,"3"" SCH-10 PIPE AL6XN",,FT
140-001000,"BAR FLAT 1/2 x 6 HR 20""",,FT
140-001100,BAR FLAT 1/4 x 1-1/2 HR,,FT
140-001133,BAR FLAT 1/4 x 2 HR STEEL,,FT
140-001200,BAR FLAT 1/4 X 1-1/4 304SS,,FT
140-002000,"BAR FLAT 1/2 x 08.00 HR 20""",,FT
140-004000,"BAR FLAT 3/4 x 4 CR 12""",,FT
140-005000,"BAR FLAT 3/4 x 6 CR 20""",,FT
140-006000,"BAR FLAT 1 x 6 CR 12""",,FT
140-007000,"BAR FLAT 1/4 x 1-1/2 304L 12""",,FT
140-008000,BAR FLAT 1/8 x 1-1/4 304L,,FT
140-009000,"BAR FLAT 1/8 x 2 304L 12""",,FT
140-010000,BAR FLAT 1/8 x 3 304L,,FT
140-011000,BAR FLAT 1/4 x 3/4 304L,,FT
140-012000,"BAR FLAT 1/4 x 1 304L 12""",,FT
140-013000,"BAR FLAT 1/4 x 2-1/2 304L 20""",,FT
140-014000,"BAR FLAT 1/4 x 1 316 12""",,FT
140-015000,"BAR FLAT 1/4 x 1-1/2 316 12""",,FT
140-016000,"BAR FLAT 1/4"" THK x 2"" WIDE  304L",,FT
140-017000,"BAR FLAT 3/8 x 2 316 12""",,FT
140-017100,"BAR FLAT 3/16"" X 1"" 304 S/S",,FT
140-018000,"BAR FLAT 1/4 x 2 316 12""",,FT
140-018100,BAR FLAT 1/4 x 3 316L,,FT
140-019000,"BAR FLAT 5/8 x 2 316 12""",,FT
140-021111,BAR FLAT 1/8 x 3/4  304,,FT
140-022000,"BAR FLAT 1/8 x 1 304 12""",,FT
140-022100,BAR FLAT 1/4 x3 STEEL HR,,FT
140-023000,"BAR FLAT 3/8 x 4 HR 20""",,FT
140-024000,"BAR FLAT 1/2 x 3/4 HR 20""",,FT
140-025000,BAR FLAT 1/8 x 1-1/4 M400,,FT
140-026000,"BAR FLAT 1/4"" X 1-1/2"" 304L",,FT
140-027000,"BAR FLAT 1/2 x 1 304 12""",,FT
140-028000,"BAR FLAT 3/4 x 4  304 12""",,FT
140-029000,"BAR FLAT 1/2 x 1-1/2 304 12""",,FT
140-030000,"BAR FLAT 1 x 1 304 12""",,FT
140-031000,"BAR FLAT 1/8 x 1-1/2 304 12""",,FT
140-032000,"BAR FLAT 1/8 x 1/2  304 12""",,FT
140-033000,BAR FLAT 3/4 x 1-1/4 316,,FT
140-034000,BAR FLAT 3/8 x 1-3/4 316,,FT
140-035000,"BAR FLAT 3/4"" X 1-1/2"" 316",,FT
140-036000,"BAR FLAT 3/16""X1-1/2""W 304",,FT
140-037000,"BAR FLAT 1/8 x 5/8  304L 12""",,FT
140043,MUFFLER OVAL MARK 2 P/N 140043,,EA
140-625304,"ROUND BAR 5/8"" DIA 304L",,FT
140-888888,LATCH  OVER CENTER DRAW 304SS,,EA
140-999999,"HINGE  CONTINUOS 2""W X 6FT",,FT
141-001000,"BAR ANG 2.50X2.50X.25 HR 20""",,FT
141-002000,"BAR ANG 1.50X1.50X.25 304 12""",,FT
141-003000,"BAR ANG 1.25X1.25X.25 304 12""",,FT
141-006000,"BAR ANG 2.00X2.00X.25 304 12""",,FT
141-007000,"BAR ANG 3.00X3.00X.25 304 12""",,FT
142-001000,BAR ROUND 1-1/8 DIA MONEL400,,FT
142-002000,BAR ROUND 6 DIA HR STL,,FT
142-003000,"BAR SQUARE 1"" X 1"" 316",,FT
142-004000,"BAR ROUND 1/4"" 316",,FT
142-005000,BAR ROUND 1-1/4 ALUM 6061,,FT
142-005316,BAR ROUND 1-1/4 316L SS,,FT
142-005555,"BAR ROUND 1-1/2"" 316L",,FT
142-006000,"BAR ROUND 1"" DIA 316L",,FT
142-007000,"BAR ROUND 3/4"" DIA 316L",,FT
143-001000,"BOX TUBE 2.50X2.50X.25 HR 20""",,FT
14CRUSH,USE P/N A96-113400,,EA
150-000000,MUFFLER TUBULAR PMAT CT SERIES,,EA
150-001000,"NIPPLE 3/8NPT X 6""L 316L",,EA
150-002000,"NIPPLE 1/2NPT x 6""L 316L",,EA
150-003000,"NIPPLE 3/4NPT x 6""L 316L",,EA
150-004000,"NIPPLE 1 NPT x 6""L 316L",,EA
150-004444,NIPPLE 2 NPT x 6L 9010,,EA
150-005000,"NIPPLE 1-1/4NPT x 6""L 316L",,EA
150-006000,"NIPPLE 1-1/2 NPT x 6""L 316L",,EA
150-006001,NIPPLE 1-1/2 x 6L SMO,,EA
150-007000,"NIPPLE 2NPT x 6""L 316L",,EA
150-008000,"NIPPLE 2-1/2NPT x 6""L 316L",,EA
150-009000,"NIPPLE 3NPT x 6""L 316L",,EA
150-010000,"NIPPLE SPCL 3"" BRITISH 316SS",,EA
150-011000,"BALL VALVE 1/2""NPT 316L 100%",,EA
150-030840,SPRING KOHLER MIXER ELBOW BLANKET 210-030840. HS WHITE PN MXI02601-SS,,EA
150-034250,"PIPE NIPPLE 3/4"" NPT THREADED BOTH ENDS 2.50""LG  316L S80 MCMASTER# 4475K125",,EA
150-075000,"3/4"" NPT FEMALE VALVE  MCMASTER# 3553K27",,EA
151-001000,COUPLING HALF 1/8 NPT 316L,,EA
151-002000,COUPLING HALF 1/4 NPT 316L,,EA
151-002500,COUPLING HALF 1/4 NPT I625,,EA
151-003000,COUPLING HALF 3/8 NPT 316L,,EA
151-004000,COUPLING HALF 1/2 NPT 316L,,EA
151-005000,COUPLING HALF 3/4 NPT 316L,,EA
151-006000,COUPLING HALF 1 NPT 316L,,EA
151-007000,COUPLING HALF 1-1/4 NPT 316L,,EA
151-007700,COUPLING HALF 1-1/4 NPT I-625,,EA
151-008000,COUPLING HALF 1-1/2 NPT 316L,,EA
151-008888,COUPLING HALF 1-1/2 NPT I625,,EA
151-009000,COUPLING HALF 2 NPT 316L  30# -Thin Wall,,EA
151-009999,COUPLING HALF 2 NPT I625,,EA
151-010000,COUPLING HALF 2-1/2 NPT 316L,,EA
151-011000,COUPLING HALF 3 NPT 316L,,EA
151-011100,COUPLING HALF 3 NPT AL6XN #3000,,EA
151-012000,COUPLING FULL 1/8 NPT 6061,,EA
151-013000,COUPLING FULL 1/4 NPT 6061,,EA
151-014000,COUPLING FULL 3/8 NPT 6061,,EA
151-015000,COUPLING FULL 1/2 NPT 6061,,EA
151-016000,COUPLING HALF 3/8 NPT I625,,EA
151-017000,COUPLING FULL 3/4 NPT 6061,,EA
151-017500,DO NOT STOCK OBSOLETE,,EA
151-0179998,COUPLING HALF 1/2NPT 5086,,EA
151-0179999,COUPLING FULL 1 NPT 5086,,EA
151-018000,COUPLING FULL 1 NPT 6061,,EA
151-019000,COUPLING FULL 1-1/4 NPT 6061,,EA
151-020000,COUPLING FULL 1-1/2 NPT 6061,,EA
151-021100,COUPLING HALF 2 NPT 5086,,EA
151-021500,COUPLING  HALF 1/4 NPT 90-10,,EA
151-022000,COUPLING HALF 3/8 NPT 9010,,EA
151-022100,COUPLING HALF 1-1/4 NPT 9010,,EA
151-023000,COUPLING FULL 1/8 NPT 316L,,EA
151-024000,COUPLING FULL 1/4 NPT 316L,,EA
151-025000,COUPLING FULL 3/8 NPT 316L,,EA
151-025100,COUPLING M18X1.5FEM 316 FULLTH,,EA
151-026000,COUPLING FULL 1/2 NPT 316L,,EA
151-027000,COUPLING FULL 3/4 NPT 316L,,EA
151-028000,COUPLING FULL 1 NPT 316L,,EA
151-029000,COUPLING FULL 1-1/4 NPT 316L,,EA
151-030000,COUPLING FULL 1-1/2 NPT 316L,,EA
151-030001,COUPLING FULL 1/2 NPT I625,,EA
151-030840,SPLIT RING KOHLER MIXER ELBOW 210-030840 BALLCHAIN PN SPLIT-RING-SS-28MM,,EA
151-031000,COUPLING FULL 2 NPT 316L,,EA
151-032000,COUPLING FULL 2-1/2 NPT 316L,,EA
151-033000,COUPLING FULL 3 NPT 316L,,EA
151-0338888,"COUPLING HALF 4"" 316L",,EA
151-034000,COUPLING FULL 3/8 NPT I625,,EA
151-035000,COUPLING FULL 3/8 NPT 9010,,EA
151-036000,COUPLING HALF 1/2 NPT I625,,EA
151-037000,COUPLING HALF 3/4 NPT I625,,EA
151-038000,COUPLING HALF 1 NPT I625,,EA
151-039000,COUPLING HALF 3/8 NPT M400,,EA
151-039555,COUPLING FULL 3/8 M400,,EA
151-040000,COUPLING HALF 3/4 NPT M400,,EA
151-041100,COUPLING HALF 1-1/4 NPT 9010,,EA
151-041110,COUPLING FULL 3/4 NPT 9010,,EA
151-042222,COUPLING HALF 1 NPT 9010,,EA
151-200000,"PLUG PIPE 2""NPT SH 316L",,EA
152-001000,"PLUG PIPE 1/8""NPT SH 316L",,EA
152-002000,"PLUG PIPE 1/4""NPT SH 316L",,EA
152-002222,"PLUG PIPE 1/4""NPT HH 316L",,EA
152-002500,"PLUG PIPE 3/4""NPT SH 316L",,EA
152-003000,"PLUG PIPE 1/4""NPT SH BRASS",,EA
152-004000,"PLUG PIPE 3/8""NPT SH 316L",,EA
152-005000,"PLUG PIPE 3/8""NPT SH BRASS",,EA
152-006000,"PLUG PIPE 3/8""NPT SH I625",,EA
152-007000,"PLUG PIPE 3/8""NPT SH 9010",,EA
152-008000,"PLUG PIPE 1/2""NPT SH 6061",,EA
152-009000,"PLUG PIPE 1/2""NPT SH I625",,EA
152-010000,"PLUG PIPE 1""NPT SH 316L",,EA
152-011000,"PLUG FLAT HEAD 1"" DDC",,EA
152-012000,"PLUG PIPE 1/2""NPT SH 316L",,EA
152-013000,"PLUG PIPE 1/4""NPT HXS 316L-OBSOLETE USE 152-002000",,EA
152-014000,"PLUG PIPE 1/8""NPT HXS 316L",,EA
152-111000,"PLUG PIPE 1"" NPT HEX HEAD",,EA
152-800316,"8"" CAP S10 316L FOR CHANTIER/HIKE A403WP-W SKU:50C6L080",,EA
153-025150,SPRAYER 1/4 NPT 150DEG 316L,,EA
153-050150,SPRAYER 1/2 NPT 150DEG 316L,,EA
153-050151,"HEX HEAD PLUG 3/4"" NPT MCMASTER  4443K412",,EA
153-050170,SPRAYER 1/2 NPT 170DEG 316,,EA
153-050180,SPRAYER 1/2 NPT 180 DEG 316L,,EA
153-150170,SPRAYER 1 1/2NPT 170DEG 316L,,EA
170-008000,"RING 5.95 OD X 4.50 ID, 316L, 1/4"" THK",,EA
170-043530,"RING 4.35 OD X 3.55 ID, 1/4TH, 316L",,EA
170-05500A,RING FLG ADAP DO NOT STOCK,,EA
170-07200A,RING FLG 04.90 X 03.55 316L,,EA
170-07300B,RING FLANGE ADAPTOR CUMMINS,,EA
170-081400,"RING DIFSR 7.80"" OD X 5.05"" ID, 316L, 14 GA",,EA
170-081500,DOUBLER PATCH 2.50 DIA,,EA
170-10300B,"RING  FLAT TB 7.85 OD  X 6.05 ID,  AL6XN,",,EA
170-145316,RING 4.85 OD X 4.05 ID 1/4 316,,EA
170-14800A,"RING 06.05 X 04.85 1/4"" 316L",,EA
170-14800B,RING FLANGE ADAPT R.HAVER 25-6,,EA
170-148316,RING 5.85 OD X 5.05 ID 1/4 316,,EA
170-149256,RING DIFSR 6X3.55X8X5UX3B SMO 14 GA,,EA
170-149316,RING DIFSR 6X3.55X8X5UX3B 316 14 GA,,EA
170-150256,RING DIFSR 6X3.55X8XES SMO 14 GA,,EA
170-150316,RING DIFSR 6X3.55X8XES 316 14 GA,,EA
170-151256,RING DIFSR 6X4X8X5UX3B SMO 14GA,,EA
170-151316,RING DIFSR 6X4X8X5UX3B 316 14 GA,,EA
170-152256,RING DIFSR 6X4X15X10UX5B SMO 14 GA,,EA
170-152316,RING DIFSR 6X4X15X10UX5B 316 14 GA,,EA
170-15300A,RING FLG TB 05.90 X 03.80 316L,,EA
170-15300B,RING OFFSET 03.80 X 05.90 25-6,,EA
170-153256,RING DIFSR 6X4X16XES SMO 14 GA,,EA
170-153316,RING DIFSR 6X4X16XES 316 14 GA,,EA
170-154256,RING DIFSR 8X5X15X10UX5B SMO 14 GA,,EA
170-154316,RING DIFSR 8X5X15X10UX5B 316 14 GA,,EA
170-155256,RING DIFSR 8X5X15XES SMO 14 GA,,EA
170-155316,RING DIFSR 8X5X15XES 316 14 GA,,EA
170-156256,RING DIFSR 8X5X20XES SMO 14 GA,,EA
170-156316,RING DIFSR 8X5X20XES 316 14 GA,,EA
170-157256,RING DIFSR 8X5X22X15UX7B SMO 14 GA,,EA
170-157316,RING DIFSR 8X5X22X15UX7B 316 14 GA,,EA
170-158256,RING DIFSR 8X6X15X10UX5B SMO 14 GA,,EA
170-158316,RING DIFSR 8X6X15X10UX5B 316 14 GA,,EA
170-15900A,RING FLG EL 06.05 X O3.80 316L,,EA
170-15900B,RING OFFSET 03.80 X 06.05 25-6,,EA
170-159256,RING DIFSR 8X6X15XES SMO 14 GA,,EA
170-159316,RING DIFSR 8X6X15XES 316 14 GA,,EA
170-160256,RING DIFSR 8X6X16XES SMO 14 GA,,EA
170-160316,RING DIFSR 8X6X16XES 316 14 GA,,EA
170-16100A,RING FLG TB 03.55 X 02.55 316L,,EA
170-161256,RING DIFSR 8X6X20XES SMO 14 GA,,EA
170-161316,RING DIFSR 8X6X20XES 316 14 GA,,EA
170-162256,RING DIFSR 10X8X20X13UX7B SMO 14 GA,,EA
170-162316,RING DIFSR 10X8X20X13UX7B 316 14 GA,,EA
170-163256,RING DIFSR 6X4X11X7UX4B SMO 14 GA,,EA
170-163316,RING DIFSR 6X4X11X7UX4B 316 14 GA,,EA
170-164256,RING DIFSR 10X8X22XES SMO 14 GA,,EA
170-164316,RING DIFSR 10X8X22XES 316 14 GA,,EA
170-165256,RING DIFSR 8X6X18X11UX7B 25-6 14 GA,,EA
170-165316,RING DIFSR 8X6X18X11UX7B 316 14 GA,,EA
170-166256,RING DIFSR 6X4X7X4UX3B 256 14 GA,,EA
170-166316,RING DIFSR 6X4X7X4UX3B 316 14 GA,,EA
170-167256,RING DIFSR 8X6X22X14UX8B 256 14 GA,,EA
170-167316,RING DIFSR 8X6X22X14UX8B 316 14 GA,,EA
170-16800A,RING FLG 06.10 X 04.55 316L,,EA
170-168256,RING  DIFSR 8X5X1811UX7B AL6XN 14 GA,,EA
170-168316,RING  DIFSR 8X5X1811UX7B 316L 14 GA,,EA
170-17000B,RING FLG EL 05.10 X 03.05 25-6,,EA
170-170485,"RING 1/4"" 316L  4.85OD X 3.53",,EA
170-17200B,RING FLG EL 06.10 X 05.05 25-6,,EA
170-172256,OBSOLETE- 10X8X20XES 25-6,,EA
170-172316,RING DIFSR 10X8X20XES 316 14 GA,,EA
170-17300A,RING FLG TB 05.20 X 06.10 316L,,EA
170-17600A,RING FLG EL 05.50 X 07.10 316L,,EA
170-177000,RING 4.83X3.40 OFF 0.56 316L,,EA
170-17700A,"RING 03.95ODX03.18ID 1/4"" 316L",,EA
170-178000,"RING  5.85 OD. X 3.55 ID,  316L, 12 GA",,EA
170-18200B,"RING 05.00 X 03.85 1/4"" 25-6",,EA
170-18300B,RING FLG 05.05 X 03.85 25-6 MO,,EA
170-18400A,RING 05.30X3.49 1/4OFFSET 316L,,EA
170-18500A,RING FLAT EL 05.87X04.50 316L,,EA
170-18600A,"RING 05.560 X 04.500 1/4"" 316L",,EA
170-18700A,"RING 05.560 X 03.700 1/4"" 316L",,EA
170-18900B,RING FLG 08.05 X 06.85 25-6 MO,,EA
170-19700B,RING FLG 05.05 X 03.48 25-6 MO,,EA
170-19800A,RING FLG EL 03.10 X 01.93 316L,,EA
170-20100A,RING FLG 6.10 X 3.55 316L,,EA
170-20200B,RING FLG 05.90 X 03.48 25-6 MO,,EA
170-20500A,RING FLG 03.95 X 03.05 316L,,EA
170-21700A,RING FLG 6.10 X 05.18 316L,,EA
170-535256,"RING 4.83 OD X 3.53 ID 1/4"" THK 25-6",,EA
170-535316,"RING 4.83 OD X 3.53 ID 1/4"" THK 316L",,EA
170-557850,RING 7.85 OD X 5.50 ID 1/4 316,,EA
170-557851,RING 7.85 OD X 5.50 ID 1/4 256,,EA
170-583355,RING FLANGE 5.83OD X 3.55ID 0.25 THK. AL6XN,,EA
170-58335A,RING 5.83 OD X 3.55 ID 0.25 THK. AL6XN,,EA
170-58335L,RING 5.83 OD X 3.55 ID 0.25 THK. 316L,,EA
170-751256,RING 6.85 OD X 5.50 ID 1/4 256,,EA
170-751316,RING 6.85 OD X 5.50 ID 1/4 316,,EA
171-001000,RING DSCH 06.00X04.00 25-6MO,,EA
171-002000,RING DSCH 06.00X04.00 316L,,EA
171-003000,RING DSCH 08.00X06.00 316L,,EA
171-004000,RING DSCH 10.00X8.00 316L,,EA
171-005000,RING DSCH 12.00X10.00 316L,,EA
171-006000,RING DSCH 14.00X12.00 316L,,EA
171-007000,RING DSCH 08.00X06.00 25-6MO,,EA
171-021000,RING BACK 06.20X04.00 316L,,EA
171-022000,RING BACK 08.00X06.00 316L,,EA
171-023000,RING BACK 10.00X08.00 316L,,EA
171-024000,RING BACK 12.00X10.00 316L,,EA
171-025000,RING BACK 14.00X12.00 316L,,EA
171-027000,RING DSCH 16.00X14.00 25-6,,EA
171-032000,RING DSCH 08.00X05.00 316L,,EA
171-035000,RING DSCH 06.05X05.05 25-6MO,,EA
171-036000,RING DSCH 10.00X07.00 CUNI9010,,EA
171-039000,RING BACK 16.00X14.00 25-6MO,,EA
171-040000,RING BACK 03.19 X 01.90 316L,,EA
172-000000,CENTEK NAME TAG,,EA
172-001000,NAME TAG DME STD,,EA
172-001001,SEE SALES ORDER INSTRUCTIONS - NAME TAG BLANK,,EA
172-001100,NAME TAG DME ALUMINUM,,EA
172-001110,NAME TAG DME CU-NI,,EA
172-002000,DOME CAP 05.90OD 12G 316L,,EA
172-006000,DOME CAP 09.95OD 14G 25-6,,EA
172-007000,DOME CAP 13.95OD 14G 25-6,,EA
172-008000,DOME CAP 17.95OD 14GA 316L,,EA
172-010000,DOME CAP TXTRN DO NOT STOCK,,EA
172-010111,DOME RING TXTRN DO NOT STOCK,,EA
172-010222,DOME RING TXTRN DO NOT STOCK,,EA
172-010333,"FLAT RING 8.38OD X 6.10ID, 14G 316",,EA
172-010444,DOME CAP TXTRN DO NOT STOCK,,EA
172-010555,CONE DO NOT STOCK,,EA
172-010666,CONE DO NOT STOCK,,EA
172-011000,DOME CAP 15.95OD 14GA 25-6,,EA
172-650256,CAP 6.50 12GA AL6XN,,EA
172-750256,CAP 7.50  12GA AL6XN,,EA
173-001000,NAME TAG BELLOWS ASSY,,EA
180-001000,FLEX TUBE 1-1/2 ID 321,,FT
180-002000,FLEX TUBE 2 ID 321,,FT
180-003000,FLEX TUBE 2-1/2 ID 321,,FT
180-004000,FLEX TUBE 3 ID 321,,FT
180-005000,FLEX TUBE 3-1/2 ID 321,,FT
