ITEM,MATL,FINISH,QTY,TOTAL,PART #,SUPPLIER,DESCRIPTION,Ga.,REMARKS,Part-Configuration Name
1,316L,MATTE,1,,A25-10080,PRCHSE,SWIVEL RING ID 14,3/8,MACHINE PER DWG.,A25-10080
2,AL6XN,MATTE,1,,111-006000,WHSE,"TUBE, 5.00 X 4.25 LG",14,,TUBE 5.00 D AL6XN 14 GA 0FT - 4.25
3,AL6XN,MATTE,1,,120-031000,WHSE,"ELBOW, 5.00 X 6R X 40 DEG.",14,,ELBOW 5.00 X 6R AL6XN MASTER - 40 DEG.
4,AL6XN,MATTE,1,,111-006000,WHSE,"TUBE, 5.00 X 1.50 LG",14,,TUBE 5.00 D AL6XN 14 GA 0FT - 1.50
5,AL6XN,MATTE,1,,120-031000,WHSE,"ELBOW, 5.00 X 6R X 55 DEG.",14,,ELBOW 5.00 X 6R AL6XN MASTER - 55 DEG.
6,AL6XN,MATTE,2,,151-037000,WHSE,"HALF COUPLING, 3/4 NPT",S10,,"HALF COUPLING 075 25-6 - 1.00"""
7,AL6XN,MATTE,1,,111-006000,WHSE,"TUBE, 5.00 X 3.25 LG",14,,TUBE 5.00 D AL6XN 14 GA 0FT - 3.25
8,AL6XN,MATTE,1,,111-006000,WHSE,"TUBE, 5.50 X 6.00 LG",14,"O/E HB, SW O/E TO 5.00""",TUBE SW 5.50 D TO 5.00 D AL6XN 14 GA 0FT - 6.00
9,316L,MATTE,1,,172-001000,WHSE,NAME TAG,14,,NAME TAG - 5D
